fakeid,a,e,i,lan,aop,M,epochJD,H,mag,sun_dist,inBLISS
5000009,431.073244529,0.37555592734300003,36.4587520702,110.186251035,167.38183703,14.6119989823,2456658.5,-0.882342986611,23.66,282.083648682,True
5000025,678.4531690030001,0.438890057777,39.4129904279,119.07813892899999,158.293708415,24.0270108225,2456658.5,-5.67006542364,20.91,451.312744141,True
5000031,831.7730789189999,0.405349297554,32.531395196700004,122.750728785,136.726581185,48.2519976766,2456658.5,-5.5089929595500005,23.08,716.945922852,True
5000047,604.09617793,0.263941990427,23.912573019899998,105.01933836299999,137.00713937,51.278469781999995,2456658.5,-7.30519420135,20.02,536.6662597659999,True
5000049,600.51369262,0.552754715466,37.1351050615,85.1109400549,120.35371437200001,64.6229121419,2456658.5,-7.22895378947,20.84,635.861999512,True
5000054,583.6595727280001,0.427477023322,36.3234348792,97.5583944777,152.473289618,43.4497383181,2456658.5,-4.17999200637,22.68,481.334014893,True
5000056,871.5304885710001,0.47338180276600006,29.098254747600002,87.8895671988,123.43453522600001,37.2337965061,2456658.5,-5.145220413230001,23.14,671.152648926,True
5000058,556.453503882,0.352509453163,37.373243315799996,103.758748807,130.189417015,40.9691435913,2456658.5,-4.15713644427,22.43,452.85433960000006,True
5000142,853.10474573,0.263480164813,20.6552323404,101.672323132,165.760257995,28.951791015100003,2456658.5,-4.8623023115,23.47,676.7302246090001,True
5000172,791.22913087,0.533963887744,28.1511638148,108.384235227,120.40910231299999,22.7545032339,2456658.5,-5.98187369362,20.92,487.37234497099996,True
5000235,708.337912485,0.327554973439,31.417008472800003,86.85142383530001,152.127057821,48.9165754842,2456658.5,-6.80047605919,21.11,614.228942871,True
5000238,507.192542872,0.286693603857,39.685295058,118.99268483200001,165.210320861,28.169611625,2456658.5,-3.8314981516500004,22.16,393.180877686,True
5000256,586.5124670390001,0.33559129625,27.8376587992,100.26824616100001,133.369981634,68.6203134204,2456658.5,-5.45882723145,22.2,579.074401855,True
5000266,579.258131064,0.5658207755219999,38.245095928299996,115.914781999,176.489951693,3.2158117875700003,2456658.5,-1.43370623915,22.66,254.216827393,True
5000332,618.110993486,0.46812283280199996,35.328155389,97.6607185851,172.42603982900002,21.434994043099998,2456658.5,-4.24715411023,21.7,389.84158325199996,True
5000438,423.02913956099997,0.370157919868,37.4244181333,84.73372394020001,139.438155153,49.0105048928,2456658.5,-5.62262868384,20.06,366.354522705,True
5000512,445.311847002,0.283951775483,26.3200504373,85.2832809346,148.44793076,55.8786484038,2456658.5,-3.04443474304,23.07,404.745513916,True
5000535,769.820955134,0.496485134989,32.8442977749,113.52464917299999,123.993485623,33.4326386736,2456658.5,-6.41685799649,21.13,563.8796386719999,True
5000557,899.8270487460001,0.552949095452,28.3830247434,97.5628865074,163.61366148,17.072581674000002,2456658.5,-2.5854316502200003,24.39,494.482818604,True
5000653,806.491237303,0.351706388839,37.9383196667,98.6189330578,178.743261118,20.3933358833,2456658.5,-4.749433013419999,22.78,562.528015137,True
5000741,452.84135585,0.422497726615,34.756194146999995,84.82246132590001,160.34763481,27.6455396621,2456658.5,-1.44802031727,23.6,316.75631713900003,True
5000746,742.9184726469999,0.31669044683200004,29.680376669,94.51584993719999,144.330170449,49.25372782350001,2456658.5,-3.9287870454900005,24.21,646.490905762,True
5000762,499.98680171300003,0.41526227427100004,37.0312302329,111.32073004200001,128.416964482,55.2377065962,2456658.5,-6.03291326519,20.62,458.796539307,True
5000783,808.2142085339999,0.274855631698,20.677435961500002,86.1049818191,173.81920619599998,22.675225206500002,2456658.5,-6.42709978583,21.5,617.24395752,True
5000808,495.258325121,0.318156285194,39.3595253198,105.891854501,143.691290127,40.223043464,2456658.5,-5.32822576497,20.79,405.308013916,True
5000849,553.28092791,0.280414957753,26.190858559099997,115.62388473799999,130.15522537299998,54.645278545699995,2456658.5,-6.43375628048,20.59,499.493133545,True
5000853,688.967929684,0.417683025935,36.0021812332,102.454977482,124.035211745,37.1755233569,2456658.5,-3.8597930666000004,23.44,533.579040527,True
5000867,534.784785157,0.341218625347,26.185773494099998,95.5215128413,147.299600024,43.1076949412,2456658.5,-2.41700782776,24.09,443.67398071300005,True
5000932,597.5284588640001,0.40790872156900004,23.0782739863,110.62769506299999,144.159262045,25.7709833391,2456658.5,-1.50931172743,24.7,413.99697876,True
5000936,835.318988935,0.466333659798,28.2834470628,93.45306381879999,137.99222139100002,23.992316832600004,2456658.5,-3.6517128043300002,23.73,544.936828613,True
5000979,502.66115273,0.275650468524,39.3466901426,116.573387939,168.54543442899998,23.705952100500003,2456658.5,-3.0521532320099998,22.85,385.28237915,True
5000986,870.110236758,0.303967264912,34.1541341331,116.72966848899999,178.637219773,20.039264226500002,2456658.5,-5.169704854130001,22.9,637.22479248,True
